url,title,date,class,venue
https://vault.racerxonline.com/1974-03-10/250sx/daytona-international-speedway,Daytona - 250SX,"March 10, 1974",250sx,Daytona International Speedway
https://vault.racerxonline.com/1974-03-15/250sx/astrodome,Houston - 250SX,"March 15, 1974",250sx,Astrodome
https://vault.racerxonline.com/1974-04-08/125mx/hangtown-motocross-classic,Hangtown Motocross Classic - 125MX,"April 8, 1974",125mx,Hangtown Motocross Classic
https://vault.racerxonline.com/1974-04-08/250mx/hangtown-motocross-classic,Hangtown Motocross Classic - 250MX,"April 8, 1974",250mx,Hangtown Motocross Classic
https://vault.racerxonline.com/1974-04-08/500mx/hangtown-motocross-classic,Hangtown Motocross Classic - 500MX,"April 8, 1974",500mx,Hangtown Motocross Classic
https://vault.racerxonline.com/1974-04-14/250mx/baymare-cycle-park,Baymare Cycle Park - 250MX,"April 14, 1974",250mx,Baymare Cycle Park
https://vault.racerxonline.com/1974-04-14/500mx/baymare-cycle-park,Baymare Cycle Park - 500MX,"April 14, 1974",500mx,Baymare Cycle Park
https://vault.racerxonline.com/1974-04-28/250mx/red-bud-track-n-trail,RedBud Track 'n Trail - 250MX,"April 28, 1974",250mx,Red Bud Track N Trail
https://vault.racerxonline.com/1974-04-28/500mx/red-bud-track-n-trail,RedBud Track 'n Trail - 500MX,"April 28, 1974",500mx,Red Bud Track N Trail
https://vault.racerxonline.com/1974-05-05/250mx/appalachia-lake-park,Appalachia Lake Park - 250MX,"May 5, 1974",250mx,Appalachia Lake Park
https://vault.racerxonline.com/1974-05-05/500mx/appalachia-lake-park,Appalachia Lake Park - 500MX,"May 5, 1974",500mx,Appalachia Lake Park
https://vault.racerxonline.com/1974-05-19/250mx/gran-am-motocross-park,Gran-Am Motocross Park - 250MX,"May 19, 1974",250mx,Gran Am Motocross Park
https://vault.racerxonline.com/1974-05-19/500mx/gran-am-motocross-park,Gran-Am Motocross Park - 500MX,"May 19, 1974",500mx,Gran Am Motocross Park
https://vault.racerxonline.com/1974-06-22/250sx/los-angeles-memorial-coliseum,Los Angeles - 250SX,"June 22, 1974",250sx,Los Angeles Memorial Coliseum
