event_url,title,date,class,venue,year,Overall,Rider,Hometown,Machine,Moto 1,Moto 2
https://vault.racerxonline.com/2000-01-08/125wsx/edison-field,Anaheim 1 - 125WSX,"January 8, 2000",125wsx,Edison Field,,1,David Pingree,"Scottsdale, AZ",Suzuki,,
https://vault.racerxonline.com/2000-01-08/125wsx/edison-field,Anaheim 1 - 125WSX,"January 8, 2000",125wsx,Edison Field,,2,Casey A Johnson,"Hesperia, CA",Yamaha,,
https://vault.racerxonline.com/2000-01-08/125wsx/edison-field,Anaheim 1 - 125WSX,"January 8, 2000",125wsx,Edison Field,,3,Greg S Schnell,"Rancho Cucamonga, CA",Yamaha,,
https://vault.racerxonline.com/2000-01-08/125wsx/edison-field,Anaheim 1 - 125WSX,"January 8, 2000",125wsx,Edison Field,,4,Danny Smith,"Eagle, ID",Honda,,
https://vault.racerxonline.com/2000-01-08/125wsx/edison-field,Anaheim 1 - 125WSX,"January 8, 2000",125wsx,Edison Field,,5,Shae Bentley,"Fayetteville, GA",Kawasaki,,
https://vault.racerxonline.com/2000-01-08/125wsx/edison-field,Anaheim 1 - 125WSX,"January 8, 2000",125wsx,Edison Field,,6,Jiri Dostal,"Quail Valley, CA",Honda,,
https://vault.racerxonline.com/2000-01-08/125wsx/edison-field,Anaheim 1 - 125WSX,"January 8, 2000",125wsx,Edison Field,,7,Tallon Vohland,"Citrus Heights, CA",Kawasaki,,
https://vault.racerxonline.com/2000-01-08/125wsx/edison-field,Anaheim 1 - 125WSX,"January 8, 2000",125wsx,Edison Field,,8,Jason R McCormick,"Vancouver, WA",Honda,,
https://vault.racerxonline.com/2000-01-08/125wsx/edison-field,Anaheim 1 - 125WSX,"January 8, 2000",125wsx,Edison Field,,9,Christopher Gosselaar,"Juniper Hills, CA",Honda,,
https://vault.racerxonline.com/2000-01-08/125wsx/edison-field,Anaheim 1 - 125WSX,"January 8, 2000",125wsx,Edison Field,,10,Billy Payne,"Simi Valley, CA",Kawasaki,,
https://vault.racerxonline.com/2000-01-08/125wsx/edison-field,Anaheim 1 - 125WSX,"January 8, 2000",125wsx,Edison Field,,11,Justin Buckelew,"Albuquerque, NM",Yamaha,,
https://vault.racerxonline.com/2000-01-08/125wsx/edison-field,Anaheim 1 - 125WSX,"January 8, 2000",125wsx,Edison Field,,12,Keith S Johnson,"Pembroke, MA",KTM,,
https://vault.racerxonline.com/2000-01-08/125wsx/edison-field,Anaheim 1 - 125WSX,"January 8, 2000",125wsx,Edison Field,,13,Travis Elliott,"Alvin, TX",Honda,,
